"strict","score","order","section10","levelId","path","source","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"True","7945","182","19","c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.98","8","3","2","0.92","0.15","6","6"
"True","7891.8","182","19","c5hole_lowchoice_v1_h04r_44_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v01_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_44_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v01_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.994","7","5","5","0.925","0.108","5","5"
"True","6723.1","182","19","c5hole_lowchoice_v1_h04r_38_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_38_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.994","10","4","4","0.852","0.201","6","6"
"True","6612.6","182","19","c5hole_lowchoice_v1_h04r_48_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v05_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_48_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v05_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.987","6","6","6","0.833","0.266","7","7"
"True","6611","182","19","c5hole_lowchoice_v1_h04r_40_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_40_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v03_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.976","10","5","5","0.882","0.25","8","8"
"True","6338","182","19","c5hole_lowchoice_v1_h04r_42_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_42_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.981","7","7","5","0.837","0.27","9","8"
"False","6309.5","182","19","c5hole_lowchoice_v1_h04r_45_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v02_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_45_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v02_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.978","9","4","4","0.837","0.315","9","9"
"True","6308.8","182","19","c5hole_lowchoice_v1_h04r_41_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_41_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.989","11","4","4","0.851","0.278","8","8"
"True","6268.8","182","19","c5hole_lowchoice_v1_h04r_46_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v03_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_46_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v03_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.985","11","5","5","0.844","0.218","7","6"
"False","5890.3","182","19","c5hole_lowchoice_v1_h04r_39_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_39_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v02_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.991","10","4","4","0.79","0.273","8","7"
"False","5844.2","182","19","c5hole_lowchoice_v1_h04r_47_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v04_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_47_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v04_strictmixedlocalbreak_local_break_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.989","9","5","4","0.813","0.372","10","10"
"False","5417.5","182","19","c5hole_lowchoice_v1_h04r_37_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_37_nutation_strict_mixed_choiceclamp_v1_rect_s19_o182_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h04r_order182_shortroot1_trace_joined.csv","True","0.985","10","5","4","0.785","0.375","10","10"
